=== New Interactions ===
-CONFIG_FEATURE_DEFAULT_PASSWD_ALGO CONFIG_CHPASSWD
-CONFIG_LONG_OPTS CONFIG_ADDGROUP
-CONFIG_LONG_OPTS CONFIG_ADDUSER
-CONFIG_LONG_OPTS CONFIG_FEATURE_ADDUSER_TO_GROUP
-CONFIG_LONG_OPTS CONFIG_FEATURE_CHECK_NAMES
-CONFIG_LONG_OPTS CONFIG_FEATURE_GETOPT_LONG
-CONFIG_LONG_OPTS CONFIG_FIRST_SYSTEM_ID
-CONFIG_LONG_OPTS CONFIG_LAST_ID
-CONFIG_LONG_OPTS CONFIG_LAST_SYSTEM_ID
-CONFIG_SV_DEFAULT_SERVICE_DIR CONFIG_SVC
-CONFIG_UDHCPC_DEFAULT_SCRIPT CONFIG_UDHCPC6
-CONFIG_UDHCP_DEBUG CONFIG_UDHCPC6
CONFIG_FEATURE_2_4_MODULES CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_2_4_MODULES CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_INSMOD_LOADINKMEM CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_INSMOD_LOADINKMEM CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_INSMOD_LOAD_MAP CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_INSMOD_LOAD_MAP CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_INSMOD_TRY_MMAP CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_INSMOD_TRY_MMAP CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_INSMOD_VERSION_CHECKING CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
CONFIG_FEATURE_INSMOD_VERSION_CHECKING CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED CONFIG_FEATURE_MODUTILS_ALIAS
CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED CONFIG_FEATURE_MODUTILS_SYMBOLS
CONFIG_FEATURE_MODUTILS_ALIAS CONFIG_MODPROBE_SMALL
CONFIG_FEATURE_MODUTILS_SYMBOLS CONFIG_MODPROBE_SMALL

=== Removed Interactions ===
-CONFIG_DEFAULT_DEPMOD_FILE CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
-CONFIG_DEFAULT_DEPMOD_FILE CONFIG_MODPROBE_SMALL
-CONFIG_DEFAULT_MODULES_DIR CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED
-CONFIG_DEFAULT_MODULES_DIR CONFIG_MODPROBE_SMALL
-CONFIG_FEATURE_PIDFILE CONFIG_PID_FILE_PATH
-CONFIG_FEATURE_TFTP_BLOCKSIZE CONFIG_FEATURE_TFTP_PROGRESS_BAR
-CONFIG_NC CONFIG_NC_110_COMPAT
-CONFIG_NC CONFIG_NC_EXTRA
-CONFIG_NC CONFIG_NC_SERVER
-CONFIG_PS CONFIG_FEATURE_PS_ADDITIONAL_COLUMNS
-CONFIG_PS CONFIG_FEATURE_PS_LONG
-CONFIG_PS CONFIG_FEATURE_PS_TIME
-CONFIG_PS CONFIG_FEATURE_PS_UNUSUAL_SYSTEMS
-CONFIG_PS CONFIG_FEATURE_PS_WIDE
-CONFIG_SV CONFIG_SV_DEFAULT_SERVICE_DIR
-CONFIG_UDHCPC CONFIG_UDHCPC_DEFAULT_SCRIPT
-CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS CONFIG_FEATURE_UDHCP_PORT
-CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS CONFIG_UDHCPC_DEFAULT_SCRIPT
