=== New Interactions ===
AMIGA_Z2RAM LBDAF
-64BIT -KTIME_SCALAR
PM BF60x
MODULE_UNLOAD SMP
X86 SMP
I2C_DESIGNWARE_PLATFORM I2C_DESIGNWARE_PCI
IOSCHED_CFQ -BLK_CGROUP
ARCH_OMAP3 -PM
REISERFS_FS_SECURITY -SECURITY
NUMA SMP
NUMA DEBUG_SPINLOCK
NUMA DEBUG_LOCK_ALLOC
MACH_OMAP_H4 -ARCH_OMAP2420
NETPOLL -IPV6
IPV6 -VLAN_8021Q
TWL4030_CORE -OF_IRQ
TCP_MD5SIG PREEMPT
EP93XX_ETH -ZONE_DMA
X86 ACPI_WMI
S390 S390_PRNG
REGULATOR_MAX8660 -OF
BCM47XX -SSB_DRIVER_EXTIF
SND_FSI_AK4642 -I2C
SND_FSI_DA7210 -I2C
UNIX98_PTYS DEVPTS_MULTIPLE_INSTANCES
VORTEX -PCI
CRYPTO_TEST -CRYPTO_BLKCIPHER

=== Removed Interactions ===
